date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:41	106497/106497	---MC-	200	added ('OK')	text/html	date:Wed,%2005%20Nov%202025%2012:57:40%20GMT	https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/index.html	(from )
15:57:41	170/170	---MC-	200	added ('OK')	text/plain	date:Wed,%2005%20Nov%202025%2012:57:39%20GMT	https://www.kuveytturkportfoy.com.tr/robots.txt		(from )
15:57:42	149743/149743	---M--	200	added ('OK')	text/javascript	etag:%221db754cf83a9def%22	https://www.kuveytturkportfoy.com.tr/Content/uikit/dist/js/uikit.min.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/uikit/dist/js/uikit.min.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:42	29986/29986	---M--	200	added ('OK')	text/javascript	etag:%221db754cf838a022%22	https://www.kuveytturkportfoy.com.tr/Content/uikit/dist/js/uikit-icons.min.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/uikit/dist/js/uikit-icons.min.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:43	87533/87533	---M--	200	added ('OK')	text/javascript	etag:%221db666255cfe06d%22	https://www.kuveytturkportfoy.com.tr/Content/lib/js/jquery-3.7.1.min.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/lib/js/jquery-3.7.1.min.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:44	24604/24604	---M--	200	added ('OK')	text/javascript	etag:%221db666255ced59c%22	https://www.kuveytturkportfoy.com.tr/Content/lib/js/jquery.validate.min.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/lib/js/jquery.validate.min.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:45	8344/8344	---M--	200	added ('OK')	text/javascript	etag:%221db666255ce9518%22	https://www.kuveytturkportfoy.com.tr/Content/lib/js/jquery.mask.min.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/lib/js/jquery.mask.min.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:46	21196/21196	---M--	200	added ('OK')	text/javascript	etag:%221dbdc621b4537cc%22	https://www.kuveytturkportfoy.com.tr/Content/js/theme.js	/Users/eyupi/websites/kuveyturkportfoy/www.kuveytturkportfoy.com.tr/Content/js/theme.js	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:47	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Wed,%2005%20Nov%202025%2012:57:47%20GMT	http://connect.facebook.net/	/Users/eyupi/websites/kuveyturkportfoy/connect.facebook.net/index.html	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:48	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2005%20Nov%202025%2012:57:47%20GMT	http://www.google-analytics.com/	/Users/eyupi/websites/kuveyturkportfoy/www.google-analytics.com/index.html	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:48	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Nov%202025%2012:57:47%20GMT	http://www.googletagmanager.com/	/Users/eyupi/websites/kuveyturkportfoy/www.googletagmanager.com/index.html	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
15:57:48	1345/1345	---MC-	200	added ('OK')	text/css	date:Wed,%2005%20Nov%202025%2012:57:47%20GMT	https://fonts.googleapis.com/css2?family=Titillium+Web:ital,wght@0,300;0,400;0,600;1,300;1,400;1,600&display=swap	/Users/eyupi/websites/kuveyturkportfoy/fonts.googleapis.com/css2f705.css	(from https://www.kuveytturkportfoy.com.tr/risk-profili-hesaplama/)
